100 C
100 A	1
100 W	1
100 R	1
200 C
100 A	2
200 A	1
200 W	1
200 R	1
100 F	2
100 T
200 T
100 C
100 A	1
100 W	1
100 R	1
100 A	2
100 W	2
100 R	2
100 F	1
200 C
100 A	2
200 A	1
200 W	1
200 R	1
200 A	2
200 W	2
200 R	2
200 F	2
300 C
100 A	2
300 A	1
300 W	1
300 R	1
200 A	3
200 W	3
200 R	3
200 F	1
100 T
200 T
300 T
100 C
100 A	1
100 W	1
100 R	1
200 C
100 A	2
200 A	1
200 W	1
200 R	1
100 T
200 T
100 C
100 A	1
100 W	1
100 R	1
100 A	2
100 W	2
100 R	2
100 A	3
100 W	3
100 R	3
100 A	4
100 W	4
100 R	4
100 F	4
200 C
200 A	1
200 W	1
200 R	1
200 A	2
200 W	2
200 R	2
300 C
300 A	1
300 W	1
300 R	1
100 T
200 T
300 T
